ExistingProtection,Occupation,Budget,Gender,WorkingYear,Plan
"N","金融",46400,0,9,"投資計劃"
"N","金融",47500,0,9,"投資計劃"
"N","金融",44000,1,3,"投資計劃"
"N","金融",64850,0,9,"投資計劃"
"N","金融",56100,0,7,"投資計劃"
"N","金融",40350,1,5,"投資計劃"
"N","金融",49400,0,3,"投資計劃"
"N","金融",44900,0,7,"投資計劃"
"N","金融",67300,1,3,"投資計劃"
"N","金融",63200,1,5,"投資計劃"
"N","金融",60450,0,7,"投資計劃"
"N","金融",63150,0,5,"投資計劃"
"N","金融",62200,1,3,"投資計劃"
"N","金融",50950,1,5,"投資計劃"
"N","金融",60100,1,5,"投資計劃"
"N","金融",43100,1,7,"投資計劃"
"N","金融",55450,1,3,"投資計劃"
"N","金融",57900,1,9,"投資計劃"
"N","金融",60300,1,5,"投資計劃"
"N","金融",58300,0,7,"投資計劃"
"N","金融",40950,1,5,"投資計劃"
"N","金融",51450,0,9,"投資計劃"
"N","金融",59850,1,7,"投資計劃"
"N","金融",44600,0,5,"投資計劃"
"N","金融",62450,0,7,"投資計劃"
"N","金融",56350,0,7,"投資計劃"
"N","金融",40550,1,3,"投資計劃"
"N","金融",49600,0,9,"投資計劃"
"N","金融",56150,0,3,"投資計劃"
"N","金融",47950,1,5,"投資計劃"
"N","金融",52750,0,3,"投資計劃"
"N","金融",42700,0,7,"投資計劃"
"N","金融",63800,1,7,"投資計劃"
"N","金融",64000,0,5,"投資計劃"
"N","金融",42350,0,9,"投資計劃"
"N","金融",56950,1,5,"投資計劃"
"N","金融",49250,0,3,"投資計劃"
"N","金融",47200,1,3,"投資計劃"
"N","金融",45300,0,9,"投資計劃"
"N","金融",60450,1,7,"投資計劃"
"N","金融",59800,0,5,"投資計劃"
"N","金融",61850,1,3,"投資計劃"
"N","金融",58400,1,3,"投資計劃"
"N","金融",58950,1,9,"投資計劃"
"N","金融",64750,0,9,"投資計劃"
"N","金融",59650,0,5,"投資計劃"
"N","金融",63500,1,3,"投資計劃"
"N","金融",50550,0,5,"投資計劃"
"N","金融",47650,1,7,"投資計劃"
"N","金融",50000,1,5,"投資計劃"
"N","金融",50350,0,3,"投資計劃"
"N","金融",64200,0,3,"投資計劃"
"N","金融",44750,1,5,"投資計劃"
"N","金融",46700,1,7,"投資計劃"
"N","金融",66750,1,3,"投資計劃"
"N","金融",39800,1,7,"投資計劃"
"N","金融",65300,0,7,"投資計劃"
"N","金融",46950,0,7,"投資計劃"
"N","金融",60050,1,5,"投資計劃"
"N","金融",57600,0,5,"投資計劃"
"N","金融",57850,0,5,"投資計劃"
"N","金融",61550,0,5,"投資計劃"
"N","金融",51750,0,7,"投資計劃"
"N","金融",55850,0,3,"投資計劃"
"N","金融",45800,0,7,"投資計劃"
"N","金融",58500,1,9,"投資計劃"
"N","金融",66800,0,9,"投資計劃"
"N","金融",67150,1,5,"投資計劃"
"N","金融",56000,1,9,"投資計劃"
"N","金融",58600,1,5,"投資計劃"
"N","金融",64150,0,9,"投資計劃"
"N","金融",65500,0,7,"投資計劃"
"N","金融",67500,0,7,"投資計劃"
"N","金融",59250,1,9,"投資計劃"
"N","金融",38800,0,7,"投資計劃"
"N","金融",58750,0,3,"投資計劃"
"N","金融",64400,0,9,"投資計劃"
"N","金融",39350,0,4,"投資計劃"
"N","金融",53100,0,3,"投資計劃"
"N","金融",60700,1,5,"投資計劃"
"N","金融",46650,0,4,"投資計劃"
"N","金融",50450,0,4,"投資計劃"
"N","金融",67650,0,9,"投資計劃"
"N","金融",55450,0,7,"投資計劃"
"N","金融",44150,0,4,"投資計劃"
"N","金融",41300,1,3,"投資計劃"
"N","金融",46650,1,7,"投資計劃"
"N","金融",65800,1,7,"投資計劃"
"N","金融",38400,1,9,"投資計劃"
"N","金融",59900,1,3,"投資計劃"
"N","金融",65500,1,7,"投資計劃"
"N","金融",55550,0,7,"投資計劃"
"N","金融",59950,0,7,"投資計劃"
"N","金融",65950,0,4,"投資計劃"
"N","金融",42550,0,7,"投資計劃"
"N","金融",48500,1,4,"投資計劃"
"N","金融",64500,1,7,"投資計劃"
"N","金融",58450,1,4,"投資計劃"
"N","金融",40200,1,5,"投資計劃"
"N","金融",57600,1,7,"投資計劃"
"N","金融",42050,1,9,"投資計劃"
"N","金融",45700,0,7,"投資計劃"
"N","金融",60150,0,7,"投資計劃"
"N","金融",64350,0,7,"投資計劃"
"N","金融",47200,0,7,"投資計劃"
"N","金融",52650,0,7,"投資計劃"
"N","金融",42350,1,5,"投資計劃"
"N","金融",39300,0,4,"投資計劃"
"N","金融",46500,1,9,"投資計劃"
"N","金融",39450,1,7,"投資計劃"
"N","金融",58400,1,4,"投資計劃"
"N","金融",59250,0,9,"投資計劃"
"N","金融",58250,0,7,"投資計劃"
"N","金融",44350,0,7,"投資計劃"
"N","金融",47650,1,5,"投資計劃"
"N","金融",67450,0,4,"投資計劃"
"N","金融",63400,1,9,"投資計劃"
"N","金融",64450,0,7,"投資計劃"
"N","金融",55800,1,5,"投資計劃"
"N","金融",51050,0,7,"投資計劃"
"N","金融",54150,1,5,"投資計劃"
"N","金融",54100,0,4,"投資計劃"
"N","金融",47650,0,7,"投資計劃"
"N","金融",42900,1,9,"投資計劃"
"N","金融",49700,0,7,"投資計劃"
"N","金融",67800,0,9,"投資計劃"
"N","金融",64500,0,9,"投資計劃"
"N","金融",50350,0,4,"投資計劃"
"N","金融",52050,1,3,"投資計劃"
"N","金融",44250,1,7,"投資計劃"
"N","金融",65400,0,9,"投資計劃"
"N","金融",38500,0,4,"投資計劃"
"N","金融",56350,1,9,"投資計劃"
"N","金融",42350,0,9,"投資計劃"
"N","金融",47400,0,5,"投資計劃"
"N","金融",61550,0,7,"投資計劃"
"N","金融",49100,1,9,"投資計劃"
"N","金融",40700,1,4,"投資計劃"
"N","金融",48550,1,4,"投資計劃"
"N","金融",53050,1,3,"投資計劃"
"N","金融",57050,1,4,"投資計劃"
"N","金融",50700,0,7,"投資計劃"
"N","金融",52100,0,7,"投資計劃"
"N","金融",43600,1,3,"投資計劃"
"N","金融",45550,1,4,"投資計劃"
"N","金融",64200,0,5,"投資計劃"
"N","金融",65700,1,4,"投資計劃"
"N","金融",44650,0,7,"投資計劃"
"N","金融",41900,0,5,"投資計劃"
"N","金融",54850,0,4,"投資計劃"
"N","金融",54750,0,9,"投資計劃"
"N","金融",54400,1,4,"投資計劃"
"N","金融",65900,0,3,"投資計劃"
"N","金融",44900,1,5,"投資計劃"
"N","金融",40500,1,4,"投資計劃"
"N","金融",53050,1,4,"投資計劃"
"N","金融",66200,0,3,"投資計劃"
"N","金融",62450,0,4,"投資計劃"
"N","金融",61100,1,9,"投資計劃"
"N","金融",44000,0,5,"投資計劃"
"N","金融",39000,0,3,"投資計劃"
"N","金融",59850,1,5,"投資計劃"
"N","金融",49900,1,9,"投資計劃"
"N","金融",44700,0,4,"投資計劃"
"N","金融",66800,0,5,"投資計劃"
"N","金融",38900,0,4,"投資計劃"
"N","金融",67200,1,3,"投資計劃"
"N","金融",64000,0,4,"投資計劃"
"N","金融",53950,1,9,"投資計劃"
"N","金融",61700,1,7,"投資計劃"
"N","金融",56800,1,7,"投資計劃"
"N","金融",62850,1,9,"投資計劃"
"N","金融",41350,0,4,"投資計劃"
"N","金融",41850,0,3,"投資計劃"
"N","金融",64100,0,4,"投資計劃"
"N","金融",38750,1,9,"投資計劃"
"N","金融",56400,1,7,"投資計劃"
"N","金融",53900,0,5,"投資計劃"
"N","金融",63100,0,7,"投資計劃"
"N","金融",54100,0,5,"投資計劃"
"N","金融",44400,1,7,"投資計劃"
"N","金融",58800,0,9,"投資計劃"
"N","金融",60350,1,3,"投資計劃"
"N","金融",58100,0,7,"投資計劃"
"N","金融",40750,0,9,"投資計劃"
"N","金融",64100,1,7,"投資計劃"
"N","金融",53850,1,7,"投資計劃"
"N","金融",45700,0,4,"投資計劃"
"N","金融",67600,1,7,"投資計劃"
"N","金融",55700,0,5,"投資計劃"
"N","金融",57050,1,7,"投資計劃"
"N","金融",48700,1,3,"投資計劃"
"N","金融",60550,0,5,"投資計劃"
"N","金融",43050,0,3,"投資計劃"
"N","金融",64600,0,7,"投資計劃"
"N","金融",56850,0,5,"投資計劃"
"N","金融",61500,1,4,"投資計劃"
"N","金融",58800,0,3,"投資計劃"
"N","金融",44600,1,7,"投資計劃"
"N","金融",65050,1,5,"投資計劃"
"N","金融",47150,0,5,"投資計劃"
"N","金融",55100,0,4,"投資計劃"
"N","金融",47150,0,7,"投資計劃"
"N","金融",48700,0,5,"投資計劃"
"N","金融",64550,0,5,"投資計劃"
"N","金融",49650,1,4,"投資計劃"
"N","金融",57000,0,3,"投資計劃"
"N","金融",54450,0,7,"投資計劃"
"N","金融",54800,0,9,"投資計劃"
"N","金融",38950,0,7,"投資計劃"
"N","金融",62150,0,4,"投資計劃"
"N","金融",53400,1,7,"投資計劃"
"N","金融",38850,0,3,"投資計劃"
"N","金融",54300,1,7,"投資計劃"
"N","金融",63700,0,7,"投資計劃"
"N","金融",43650,1,3,"投資計劃"
"N","金融",55850,1,4,"投資計劃"
"N","金融",49900,0,5,"投資計劃"
"N","金融",44700,1,4,"投資計劃"
"N","金融",56650,1,9,"投資計劃"
"N","金融",63200,0,7,"投資計劃"
"N","金融",62250,1,9,"投資計劃"
"N","金融",67250,0,4,"投資計劃"
"N","金融",41350,1,7,"投資計劃"
"N","金融",41000,1,4,"投資計劃"
"N","金融",43300,1,3,"投資計劃"
"N","金融",42100,1,5,"投資計劃"
"N","金融",46250,1,9,"投資計劃"
"N","金融",61750,0,4,"投資計劃"
"N","金融",44500,1,9,"投資計劃"
"N","金融",42050,0,7,"投資計劃"
"N","金融",51400,1,7,"投資計劃"
"N","金融",47850,1,3,"投資計劃"
"N","金融",63300,0,7,"投資計劃"
"N","金融",41450,0,7,"投資計劃"
"N","金融",40450,0,7,"投資計劃"
"N","金融",45500,0,3,"投資計劃"
"N","金融",54750,1,7,"投資計劃"
"N","金融",61850,1,4,"投資計劃"
"N","金融",52950,0,7,"投資計劃"
"N","金融",42000,0,7,"投資計劃"
"N","金融",54900,0,5,"投資計劃"
"N","金融",67650,1,4,"投資計劃"
"N","金融",56600,1,5,"投資計劃"
"N","金融",39050,1,5,"投資計劃"
"N","金融",59800,0,7,"投資計劃"
"N","金融",54700,0,4,"投資計劃"
"N","金融",61050,1,4,"投資計劃"
"N","金融",40600,1,4,"投資計劃"
"N","金融",40000,1,9,"投資計劃"
"N","金融",43600,1,4,"投資計劃"
"N","金融",59200,0,9,"投資計劃"
"N","金融",65900,0,7,"投資計劃"
"N","金融",44900,0,4,"投資計劃"
"N","金融",53700,0,5,"投資計劃"
"N","金融",44750,0,4,"投資計劃"
"N","金融",39400,0,9,"投資計劃"
"N","金融",62800,0,4,"投資計劃"
"N","金融",41700,1,3,"投資計劃"
"N","金融",60500,1,9,"投資計劃"
"N","金融",39750,1,9,"投資計劃"
"N","金融",56350,1,9,"投資計劃"
"N","金融",65300,1,7,"投資計劃"
"N","金融",40800,0,7,"投資計劃"
"N","金融",48600,1,3,"投資計劃"
"N","金融",48400,0,7,"投資計劃"
"N","金融",48350,1,7,"投資計劃"
"N","金融",52000,1,4,"投資計劃"
"N","金融",64450,0,7,"投資計劃"
"N","金融",61150,1,5,"投資計劃"
"N","金融",60250,0,7,"投資計劃"
"N","金融",44550,0,4,"投資計劃"
"N","金融",55350,0,3,"投資計劃"
"N","金融",45600,0,7,"投資計劃"
"N","金融",63750,0,7,"投資計劃"
"N","金融",48450,1,7,"投資計劃"
"N","金融",59450,0,3,"投資計劃"
"N","金融",61300,1,7,"投資計劃"
"N","金融",39700,1,3,"投資計劃"
"N","金融",59950,0,3,"投資計劃"
"N","金融",64300,1,7,"投資計劃"
"N","金融",58050,1,7,"投資計劃"
"N","金融",41400,1,7,"投資計劃"
"N","金融",42750,1,7,"投資計劃"
"N","金融",48600,1,7,"投資計劃"
"N","金融",60450,0,5,"投資計劃"
"N","金融",42400,1,7,"投資計劃"
"N","金融",60300,0,3,"投資計劃"
"N","金融",50750,0,4,"投資計劃"
"N","金融",41850,1,3,"投資計劃"
"N","金融",56950,0,4,"投資計劃"
"N","金融",44100,0,7,"投資計劃"
"N","金融",52850,0,7,"投資計劃"
"N","金融",41050,1,3,"投資計劃"
"N","金融",43000,1,4,"投資計劃"
"N","金融",61200,1,3,"投資計劃"
"N","金融",64900,1,7,"投資計劃"
"N","金融",51850,0,9,"投資計劃"
"N","金融",61300,1,4,"投資計劃"
"N","金融",44100,0,3,"投資計劃"
"N","金融",51250,0,5,"投資計劃"
"N","金融",38950,0,4,"投資計劃"
"N","金融",53300,0,7,"投資計劃"
"N","金融",41050,0,7,"投資計劃"
"N","金融",46900,1,9,"投資計劃"
"N","金融",51200,1,7,"投資計劃"
"N","金融",59750,1,9,"投資計劃"
"N","金融",55150,0,4,"投資計劃"
"N","金融",60550,0,5,"投資計劃"
"N","金融",54650,0,7,"投資計劃"
"N","金融",57250,0,7,"投資計劃"
"N","金融",38600,1,7,"投資計劃"
"N","金融",60700,1,7,"投資計劃"
"N","金融",42850,0,3,"投資計劃"
"N","金融",58200,0,7,"投資計劃"
"N","金融",55250,1,7,"投資計劃"
"N","金融",52100,1,4,"投資計劃"
"N","金融",50000,1,3,"投資計劃"
"N","金融",63850,1,3,"投資計劃"
"N","金融",46850,0,5,"投資計劃"
"N","金融",44850,1,5,"投資計劃"
"N","金融",64550,0,3,"投資計劃"
"N","金融",47550,1,5,"投資計劃"
"N","金融",56000,1,7,"投資計劃"
"N","金融",42400,1,3,"投資計劃"
"N","金融",45150,0,9,"投資計劃"
"N","金融",57300,1,7,"投資計劃"
"N","金融",66550,0,7,"投資計劃"
"N","金融",60800,0,3,"投資計劃"
"N","金融",52250,1,7,"投資計劃"
"N","金融",50100,1,3,"投資計劃"
"N","金融",40800,1,3,"投資計劃"
"N","金融",65700,1,7,"投資計劃"
"N","金融",66550,0,5,"投資計劃"
"N","金融",43700,1,5,"投資計劃"
"N","金融",66200,1,3,"投資計劃"
"N","金融",65750,0,9,"投資計劃"
"N","金融",51600,0,5,"投資計劃"
"N","金融",63100,1,3,"投資計劃"
"N","金融",49050,0,9,"投資計劃"
"N","金融",42000,1,3,"投資計劃"
"N","金融",48750,1,5,"投資計劃"
"N","金融",65850,0,3,"投資計劃"
"N","金融",56700,0,7,"投資計劃"
"N","金融",45150,0,3,"投資計劃"
"N","金融",42800,0,5,"投資計劃"
"N","金融",43050,1,9,"投資計劃"
"N","金融",44900,1,9,"投資計劃"
"N","金融",64200,1,9,"投資計劃"
"N","金融",48500,1,7,"投資計劃"
"N","金融",66200,0,5,"投資計劃"
"N","金融",64550,0,9,"投資計劃"
"N","金融",66500,0,3,"投資計劃"
"N","金融",50150,0,9,"投資計劃"
"N","金融",46550,0,5,"投資計劃"
"N","金融",67700,1,5,"投資計劃"
"N","金融",58600,1,5,"投資計劃"
"N","金融",49900,1,7,"投資計劃"
"N","金融",38850,0,7,"投資計劃"
"N","金融",58650,1,9,"投資計劃"
"N","金融",41650,0,5,"投資計劃"
"N","金融",65000,1,9,"投資計劃"
"N","金融",44600,0,7,"投資計劃"
"N","金融",58450,0,9,"投資計劃"
"N","金融",42050,1,5,"投資計劃"
"N","金融",64650,1,9,"投資計劃"
"N","金融",44250,0,5,"投資計劃"
"N","金融",43350,1,3,"投資計劃"
"N","金融",61550,0,3,"投資計劃"
"N","金融",45800,1,3,"投資計劃"
"N","金融",41600,0,9,"投資計劃"
"N","金融",63300,0,3,"投資計劃"
"N","金融",57150,1,7,"投資計劃"
"N","金融",43450,1,9,"投資計劃"
"N","金融",56400,0,7,"投資計劃"
"N","金融",67650,1,7,"投資計劃"
"N","金融",49450,1,3,"投資計劃"
"N","金融",64100,0,3,"投資計劃"
"N","金融",56150,1,7,"投資計劃"
"N","金融",39400,0,9,"投資計劃"
"N","金融",65900,0,3,"投資計劃"
"N","金融",41250,0,9,"投資計劃"
"N","金融",67650,0,7,"投資計劃"
"N","金融",50600,0,5,"投資計劃"
"N","金融",54550,0,5,"投資計劃"
"N","金融",54350,0,7,"投資計劃"
"N","金融",47400,1,3,"投資計劃"
"N","金融",56600,0,3,"投資計劃"
"N","金融",63000,1,7,"投資計劃"
"N","金融",54500,0,3,"投資計劃"
"N","金融",65250,0,9,"投資計劃"
"N","金融",60750,0,7,"投資計劃"
"N","金融",65450,0,3,"投資計劃"
"N","金融",50600,1,9,"投資計劃"
"N","金融",40550,0,5,"投資計劃"
"N","金融",41350,1,7,"投資計劃"
"N","金融",40400,0,7,"投資計劃"
"N","金融",67000,0,9,"投資計劃"
"N","金融",39650,1,5,"投資計劃"
"N","金融",48050,1,3,"投資計劃"
"N","金融",67200,1,7,"投資計劃"
"N","金融",62050,1,3,"投資計劃"
"N","金融",51550,1,9,"投資計劃"
"N","金融",65750,0,7,"投資計劃"
"N","金融",38700,1,9,"投資計劃"
"N","金融",62350,1,9,"投資計劃"
"N","金融",62450,0,7,"投資計劃"
"N","金融",46700,0,7,"投資計劃"
"N","金融",52600,1,5,"投資計劃"
"N","金融",57600,0,3,"投資計劃"
"N","金融",66500,1,9,"投資計劃"
"N","金融",50700,0,7,"投資計劃"
"N","金融",61600,1,5,"投資計劃"
"N","金融",39500,0,7,"投資計劃"
"N","金融",67000,0,9,"投資計劃"
"N","金融",50150,0,5,"投資計劃"
"N","金融",39700,0,3,"投資計劃"
"N","金融",58000,0,5,"投資計劃"
"N","金融",64500,0,3,"投資計劃"
"N","金融",45550,0,5,"投資計劃"
"N","金融",41100,0,9,"投資計劃"
"N","金融",45100,1,9,"投資計劃"
"N","金融",66550,1,9,"投資計劃"
"N","金融",64550,1,9,"投資計劃"
"N","金融",55400,1,9,"投資計劃"
"N","金融",66500,0,3,"投資計劃"
"N","金融",58800,0,7,"投資計劃"
"N","金融",56400,1,7,"投資計劃"
"N","金融",61850,0,7,"投資計劃"
"N","金融",62500,1,7,"投資計劃"
"N","金融",61500,0,5,"投資計劃"
"N","金融",65300,1,7,"投資計劃"
"N","金融",48900,0,9,"投資計劃"
"N","金融",53050,0,3,"投資計劃"
"N","金融",48850,0,3,"投資計劃"
"N","金融",45800,0,3,"投資計劃"
"N","金融",50150,0,7,"投資計劃"
"N","金融",45550,0,3,"投資計劃"
"N","金融",62300,1,7,"投資計劃"
"N","金融",46100,0,3,"投資計劃"
"N","金融",50800,0,5,"投資計劃"
"N","金融",43250,1,5,"投資計劃"
"N","金融",42400,1,5,"投資計劃"
"N","金融",59000,1,5,"投資計劃"
"N","金融",65400,0,3,"投資計劃"
"N","金融",50100,1,3,"投資計劃"
"N","金融",58550,1,3,"投資計劃"
"N","金融",61400,0,3,"投資計劃"
"N","金融",44750,0,9,"投資計劃"
"N","金融",54950,1,5,"投資計劃"
"N","金融",46100,1,3,"投資計劃"
"N","金融",61400,1,5,"投資計劃"
"N","金融",46450,1,3,"投資計劃"
"N","金融",52700,0,5,"投資計劃"
"N","金融",61650,0,7,"投資計劃"
"N","金融",54250,1,5,"投資計劃"
"N","金融",58900,0,5,"投資計劃"
"N","金融",52850,0,3,"投資計劃"
"N","金融",59300,1,3,"投資計劃"
"N","金融",52350,1,7,"投資計劃"
"N","金融",56450,0,3,"投資計劃"
"N","金融",53100,1,5,"投資計劃"
"N","金融",54600,0,3,"投資計劃"
"N","金融",51100,0,7,"投資計劃"
"N","金融",51400,0,3,"投資計劃"
"N","金融",48700,1,9,"投資計劃"
"N","金融",63700,1,5,"投資計劃"
"N","金融",56350,0,3,"投資計劃"
"N","金融",45450,0,9,"投資計劃"
"N","金融",49250,1,5,"投資計劃"
"N","金融",42150,1,5,"投資計劃"
"N","金融",39950,1,3,"投資計劃"
"N","金融",66400,0,5,"投資計劃"
"N","金融",53100,0,3,"投資計劃"
"N","金融",44850,0,9,"投資計劃"
"N","金融",56250,0,5,"投資計劃"
"N","金融",49200,1,5,"投資計劃"
"N","金融",39300,0,5,"投資計劃"
"N","金融",42500,0,7,"投資計劃"
"N","金融",45400,1,3,"投資計劃"
"N","金融",64850,0,9,"投資計劃"
"N","金融",44650,0,7,"投資計劃"
"N","金融",39300,0,7,"投資計劃"
"N","金融",48050,1,3,"投資計劃"
"N","金融",65000,0,3,"投資計劃"
"N","金融",52950,1,9,"投資計劃"
"N","金融",42850,0,5,"投資計劃"
"N","金融",42900,1,3,"投資計劃"
"N","金融",66850,1,3,"投資計劃"
"N","金融",58500,0,7,"投資計劃"
"N","金融",43450,0,5,"投資計劃"
"N","金融",64150,0,5,"投資計劃"
"N","金融",38800,1,5,"投資計劃"
"N","金融",64450,1,5,"投資計劃"
"N","金融",61850,0,5,"投資計劃"
"N","金融",40950,0,5,"投資計劃"
"N","金融",63950,0,5,"投資計劃"
"N","金融",53700,1,3,"投資計劃"
"N","金融",54900,1,9,"投資計劃"
"N","金融",41650,1,3,"投資計劃"
"N","金融",38500,0,5,"投資計劃"
"N","金融",49150,1,9,"投資計劃"
"N","金融",57100,1,3,"投資計劃"
"N","金融",62050,0,5,"投資計劃"
"N","金融",39100,1,5,"投資計劃"
"N","金融",43750,0,5,"投資計劃"
"N","金融",39500,1,5,"投資計劃"
"N","金融",64850,1,5,"投資計劃"
"N","金融",65400,0,9,"投資計劃"
"N","金融",60900,0,7,"投資計劃"
"N","金融",63350,0,5,"投資計劃"
"N","金融",65600,0,9,"投資計劃"
"N","金融",59200,1,5,"投資計劃"
"N","金融",53050,1,9,"投資計劃"
"N","金融",66350,0,5,"投資計劃"
"N","金融",57800,0,9,"投資計劃"
"N","金融",47800,1,5,"投資計劃"
"N","金融",58700,0,5,"投資計劃"
"N","金融",52550,1,3,"投資計劃"
"N","金融",60400,1,7,"投資計劃"
"N","金融",56100,0,7,"投資計劃"
"N","金融",48950,0,9,"投資計劃"
"N","金融",56650,0,9,"投資計劃"
"N","金融",45200,1,7,"投資計劃"
"N","金融",45550,0,9,"投資計劃"
"N","金融",61850,0,9,"投資計劃"
"N","金融",43100,0,5,"投資計劃"
"N","金融",50000,0,9,"投資計劃"
"N","金融",45350,0,5,"投資計劃"
"N","金融",42200,1,3,"投資計劃"
"N","金融",64500,0,3,"投資計劃"
"N","金融",48500,0,7,"投資計劃"
"N","金融",59000,0,9,"投資計劃"
"N","金融",46550,0,3,"投資計劃"
"N","金融",63500,1,9,"投資計劃"
"N","金融",48600,1,9,"投資計劃"
"N","金融",39350,1,5,"投資計劃"
"N","金融",44850,1,3,"投資計劃"
"N","金融",59800,1,7,"投資計劃"
"N","金融",46100,0,7,"投資計劃"
"N","金融",48850,1,9,"投資計劃"
"N","金融",59600,1,7,"投資計劃"
"N","金融",45500,1,5,"投資計劃"
"N","金融",58350,1,9,"投資計劃"
"N","金融",60900,0,5,"投資計劃"
"N","金融",38450,1,7,"投資計劃"
"N","金融",38400,0,3,"投資計劃"
"N","金融",47950,1,7,"投資計劃"
"N","金融",42450,0,3,"投資計劃"
"N","金融",63400,1,5,"投資計劃"
"N","金融",64500,1,9,"投資計劃"
"N","金融",59750,0,7,"投資計劃"
"N","金融",60900,0,7,"投資計劃"
"N","金融",65300,1,9,"投資計劃"
"N","金融",56800,0,9,"投資計劃"
"N","金融",41100,0,9,"投資計劃"
"N","金融",66950,1,7,"投資計劃"
"N","金融",47400,0,9,"投資計劃"
"N","金融",54950,0,7,"投資計劃"
"N","金融",54900,0,5,"投資計劃"
"N","金融",66150,1,5,"投資計劃"
"N","金融",40950,1,7,"投資計劃"
"N","金融",47600,1,9,"投資計劃"
"N","金融",65950,1,5,"投資計劃"
"N","金融",66800,1,3,"投資計劃"
"N","金融",45250,1,3,"投資計劃"
"N","金融",52750,0,9,"投資計劃"
"N","金融",57850,1,3,"投資計劃"
"N","金融",53800,0,9,"投資計劃"
"N","金融",63300,0,7,"投資計劃"
"N","金融",48850,1,7,"投資計劃"
"N","金融",45750,0,5,"投資計劃"
"N","金融",45250,1,9,"投資計劃"
"N","金融",43900,0,5,"投資計劃"
"N","金融",65750,1,3,"投資計劃"
"N","金融",53150,0,7,"投資計劃"
"N","金融",63900,1,9,"投資計劃"
"N","金融",50600,1,9,"投資計劃"
"N","金融",61650,1,9,"投資計劃"
"N","金融",43600,1,7,"投資計劃"
"N","金融",47300,1,9,"投資計劃"
"N","金融",42750,1,9,"投資計劃"
"N","金融",56500,0,7,"投資計劃"
"N","金融",42850,1,5,"投資計劃"
"N","金融",62400,0,7,"投資計劃"
"N","金融",45150,0,7,"投資計劃"
"N","金融",63750,1,5,"投資計劃"
"N","金融",44350,0,7,"投資計劃"
"N","金融",59550,0,7,"投資計劃"
"N","金融",53400,0,3,"投資計劃"
"N","金融",49100,0,9,"投資計劃"
"N","金融",55300,0,9,"投資計劃"
"N","金融",45250,0,5,"投資計劃"
"N","金融",44850,0,3,"投資計劃"
"N","金融",63100,0,9,"投資計劃"
"N","金融",67200,1,5,"投資計劃"
"N","金融",48550,0,3,"投資計劃"
"N","金融",46450,0,7,"投資計劃"
"N","金融",58100,1,3,"投資計劃"
"N","金融",50000,0,3,"投資計劃"
"N","金融",53350,0,7,"投資計劃"
"N","金融",66300,1,7,"投資計劃"
"N","金融",43700,0,5,"投資計劃"
"N","金融",44900,1,7,"投資計劃"
"N","金融",47300,1,3,"投資計劃"
"N","金融",48150,0,5,"投資計劃"
"N","金融",54850,1,5,"投資計劃"
"N","金融",49750,1,7,"投資計劃"
"N","金融",44750,1,7,"投資計劃"
"N","金融",53400,1,9,"投資計劃"
"N","金融",54450,1,7,"投資計劃"
"N","金融",61300,0,5,"投資計劃"
"N","金融",66750,1,5,"投資計劃"
"N","金融",64350,0,3,"投資計劃"
"N","金融",40900,0,7,"投資計劃"
"N","金融",66400,1,7,"投資計劃"
"N","金融",53800,0,3,"投資計劃"
"N","金融",63450,0,7,"投資計劃"
"N","金融",45300,1,9,"投資計劃"
"N","金融",59600,1,7,"投資計劃"
"N","金融",42650,1,7,"投資計劃"
"N","金融",43000,0,3,"投資計劃"
"N","金融",48850,0,5,"投資計劃"
"N","金融",51250,0,9,"投資計劃"
"N","金融",45100,0,9,"投資計劃"
"N","金融",65750,0,5,"投資計劃"
"N","金融",50500,0,3,"投資計劃"
"N","金融",43250,0,3,"投資計劃"
"N","金融",44050,0,3,"投資計劃"
"N","金融",39850,1,5,"投資計劃"
"N","金融",47000,1,9,"投資計劃"
"N","金融",49500,1,5,"投資計劃"
"N","金融",60400,0,9,"投資計劃"
"N","金融",55150,1,3,"投資計劃"
"N","金融",40900,0,7,"投資計劃"
"N","金融",64200,0,5,"投資計劃"
"N","金融",56150,0,3,"投資計劃"
"N","金融",66550,1,3,"投資計劃"
"N","金融",45750,1,3,"投資計劃"
"N","金融",65200,0,9,"投資計劃"
"N","金融",56300,0,9,"投資計劃"
"N","金融",66400,1,3,"投資計劃"
"N","金融",66350,1,5,"投資計劃"
"N","金融",49350,0,9,"投資計劃"
"N","金融",62750,1,7,"投資計劃"
"N","金融",66100,0,7,"投資計劃"
"N","金融",48300,1,7,"投資計劃"
"N","金融",60950,1,5,"投資計劃"
"N","金融",62950,0,9,"投資計劃"
"N","金融",66300,1,9,"投資計劃"
"N","金融",59900,0,3,"投資計劃"
"N","金融",63400,1,7,"投資計劃"
"N","金融",48550,0,3,"投資計劃"
"N","金融",66050,1,9,"投資計劃"
"N","金融",67000,0,7,"投資計劃"
"N","金融",67050,0,7,"投資計劃"
"N","金融",60450,1,3,"投資計劃"
"N","金融",64350,0,5,"投資計劃"
"N","金融",51250,0,3,"投資計劃"
"N","金融",66100,0,9,"投資計劃"
"N","金融",52600,1,7,"投資計劃"
"N","金融",59900,1,7,"投資計劃"
"N","金融",67450,1,5,"投資計劃"
"N","金融",41250,1,3,"投資計劃"
"N","金融",39200,0,9,"投資計劃"
